Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Trip Duration (hh:mm),Trip Duration (in mins),Trip Date,Request Time,Day Of Week,Is Weekend,Trip Completed,Driver Assigned,Trip Request Time Slot
4350,City,10,Trip Completed,14-07-2016 07:24,14-07-2016 08:22,00:57,57,14-07-2016,7:24 AM,Thursday,No,Yes,Yes,Morning
4713,City,10,Trip Completed,14-07-2016 13:31,14-07-2016 14:10,00:39,40,14-07-2016,1:31 PM,Thursday,No,Yes,Yes,Afternoon
5629,Airport,10,Trip Completed,15-07-2016 06:33,15-07-2016 07:19,00:46,47,15-07-2016,6:33 AM,Friday,No,Yes,Yes,Morning
6157,Airport,10,Trip Completed,15-07-2016 16:32,15-07-2016 17:44,01:11,72,15-07-2016,4:32 PM,Friday,No,Yes,Yes,Afternoon
2030,City,11,Trip Completed,12-07-2016 14:11,12-07-2016 15:02,00:51,51,12-07-2016,2:11 PM,Tuesday,No,Yes,Yes,Afternoon
3226,City,11,Trip Completed,13-07-2016 10:00,13-07-2016 11:02,01:02,63,13-07-2016,10:00 AM,Wednesday,No,Yes,Yes,Morning
3353,City,11,Trip Completed,13-07-2016 13:29,13-07-2016 14:09,00:39,39,13-07-2016,1:29 PM,Wednesday,No,Yes,Yes,Afternoon
4293,City,11,Trip Completed,14-07-2016 06:42,14-07-2016 07:12,00:30,30,14-07-2016,6:42 AM,Thursday,No,Yes,Yes,Morning
4936,City,11,Trip Completed,14-07-2016 18:22,14-07-2016 19:14,00:52,52,14-07-2016,6:22 PM,Thursday,No,Yes,Yes,Evening
5661,Airport,11,Trip Completed,15-07-2016 07:08,15-07-2016 07:59,00:50,50,15-07-2016,7:08 AM,Friday,No,Yes,Yes,Morning
5778,City,11,Trip Completed,15-07-2016 08:22,15-07-2016 09:13,00:51,51,15-07-2016,8:22 AM,Friday,No,Yes,Yes,Morning
6425,Airport,11,Trip Completed,15-07-2016 19:46,15-07-2016 20:26,00:40,40,15-07-2016,7:46 PM,Friday,No,Yes,Yes,Evening
45,Airport,12,Trip Completed,11-07-2016 03:17,11-07-2016 04:09,00:52,52,11-07-2016,3:17 AM,Monday,No,Yes,Yes,Night
264,City,12,Trip Completed,11-07-2016 06:51,11-07-2016 07:40,00:49,49,11-07-2016,6:51 AM,Monday,No,Yes,Yes,Morning
1183,City,12,Trip Completed,11-07-2016 21:05,11-07-2016 21:38,00:33,33,11-07-2016,9:05 PM,Monday,No,Yes,Yes,Late Night
1536,Airport,12,Trip Completed,12-07-2016 05:59,12-07-2016 06:59,01:00,60,12-07-2016,5:59 AM,Tuesday,No,Yes,Yes,Night
2437,City,12,Trip Completed,12-07-2016 20:18,12-07-2016 21:26,01:08,68,12-07-2016,8:18 PM,Tuesday,No,Yes,Yes,Evening
2641,Airport,12,Trip Completed,12-07-2016 22:28,12-07-2016 23:05,00:37,37,12-07-2016,10:28 PM,Tuesday,No,Yes,Yes,Late Night
4077,Airport,12,Trip Completed,14-07-2016 02:14,14-07-2016 03:13,00:58,59,14-07-2016,2:14 AM,Thursday,No,Yes,Yes,Night
4610,City,12,Trip Completed,14-07-2016 10:35,14-07-2016 11:39,01:03,64,14-07-2016,10:35 AM,Thursday,No,Yes,Yes,Morning
5066,Airport,12,Trip Completed,14-07-2016 19:31,14-07-2016 20:14,00:42,43,14-07-2016,7:31 PM,Thursday,No,Yes,Yes,Evening
5666,Airport,12,Trip Completed,15-07-2016 07:04,15-07-2016 08:12,01:07,68,15-07-2016,7:04 AM,Friday,No,Yes,Yes,Morning
5923,City,12,Trip Completed,15-07-2016 10:07,15-07-2016 10:50,00:43,43,15-07-2016,10:07 AM,Friday,No,Yes,Yes,Morning
6367,City,12,Trip Completed,15-07-2016 19:04,15-07-2016 19:46,00:41,41,15-07-2016,7:04 PM,Friday,No,Yes,Yes,Evening
155,City,13,Trip Completed,11-07-2016 05:32,11-07-2016 06:28,00:56,56,11-07-2016,5:32 AM,Monday,No,Yes,Yes,Night
310,Airport,13,Trip Completed,11-07-2016 07:24,11-07-2016 08:28,01:04,64,11-07-2016,7:24 AM,Monday,No,Yes,Yes,Morning
607,City,13,Trip Completed,11-07-2016 11:51,11-07-2016 12:42,00:51,51,11-07-2016,11:51 AM,Monday,No,Yes,Yes,Morning
1012,City,13,Trip Completed,11-07-2016 19:15,11-07-2016 19:57,00:42,42,11-07-2016,7:15 PM,Monday,No,Yes,Yes,Evening
1696,Airport,13,Trip Completed,12-07-2016 08:01,12-07-2016 08:42,00:41,41,12-07-2016,8:01 AM,Tuesday,No,Yes,Yes,Morning
3076,City,13,Trip Completed,13-07-2016 08:09,13-07-2016 09:12,01:03,63,13-07-2016,8:09 AM,Wednesday,No,Yes,Yes,Morning
4198,Airport,13,Trip Completed,14-07-2016 05:32,14-07-2016 06:45,01:13,73,14-07-2016,5:32 AM,Thursday,No,Yes,Yes,Night
4627,City,13,Trip Completed,14-07-2016 11:13,14-07-2016 12:00,00:46,47,14-07-2016,11:13 AM,Thursday,No,Yes,Yes,Morning
5289,City,13,Trip Completed,14-07-2016 21:43,14-07-2016 22:24,00:40,41,14-07-2016,9:43 PM,Thursday,No,Yes,Yes,Late Night
5495,Airport,13,Trip Completed,15-07-2016 05:00,15-07-2016 06:02,01:02,62,15-07-2016,5:00 AM,Friday,No,Yes,Yes,Night
6656,Airport,13,Trip Completed,15-07-2016 22:08,15-07-2016 22:41,00:32,33,15-07-2016,10:08 PM,Friday,No,Yes,Yes,Late Night
139,Airport,14,Trip Completed,11-07-2016 05:21,11-07-2016 06:09,00:48,48,11-07-2016,5:21 AM,Monday,No,Yes,Yes,Night
215,City,14,Trip Completed,11-07-2016 06:15,11-07-2016 07:07,00:52,52,11-07-2016,6:15 AM,Monday,No,Yes,Yes,Morning
1816,City,14,Trip Completed,12-07-2016 09:24,12-07-2016 10:07,00:43,43,12-07-2016,9:24 AM,Tuesday,No,Yes,Yes,Morning
2505,Airport,14,Trip Completed,12-07-2016 21:03,12-07-2016 22:14,01:11,71,12-07-2016,9:03 PM,Tuesday,No,Yes,Yes,Late Night
3346,City,14,Trip Completed,13-07-2016 13:01,13-07-2016 13:55,00:54,54,13-07-2016,1:01 PM,Wednesday,No,Yes,Yes,Afternoon
5294,City,14,Trip Completed,14-07-2016 21:45,14-07-2016 22:16,00:30,31,14-07-2016,9:45 PM,Thursday,No,Yes,Yes,Late Night
6226,Airport,14,Trip Completed,15-07-2016 17:34,15-07-2016 18:33,00:58,59,15-07-2016,5:34 PM,Friday,No,Yes,Yes,Evening
6733,Airport,14,Trip Completed,15-07-2016 23:32,16-07-2016 00:37,01:05,65,15-07-2016,11:32 PM,Friday,No,Yes,Yes,Late Night
1027,Airport,15,Trip Completed,11-07-2016 19:18,11-07-2016 20:24,01:06,66,11-07-2016,7:18 PM,Monday,No,Yes,Yes,Evening
2675,Airport,15,Trip Completed,12-07-2016 23:43,13-07-2016 00:35,00:52,52,12-07-2016,11:43 PM,Tuesday,No,Yes,Yes,Late Night
3200,City,15,Trip Completed,13-07-2016 09:39,13-07-2016 10:30,00:51,51,13-07-2016,9:39 AM,Wednesday,No,Yes,Yes,Morning
3865,City,15,Trip Completed,13-07-2016 21:52,13-07-2016 22:21,00:29,29,13-07-2016,9:52 PM,Wednesday,No,Yes,Yes,Late Night
4468,City,15,Trip Completed,14-07-2016 08:42,14-07-2016 09:22,00:39,39,14-07-2016,8:42 AM,Thursday,No,Yes,Yes,Morning
5163,Airport,15,Trip Completed,14-07-2016 20:34,14-07-2016 21:05,00:30,31,14-07-2016,8:34 PM,Thursday,No,Yes,Yes,Evening
6009,City,15,Trip Completed,15-07-2016 12:22,15-07-2016 13:25,01:02,63,15-07-2016,12:22 PM,Friday,No,Yes,Yes,Afternoon
6448,Airport,15,Trip Completed,15-07-2016 20:02,15-07-2016 20:40,00:37,38,15-07-2016,8:02 PM,Friday,No,Yes,Yes,Evening
591,City,16,Trip Completed,11-07-2016 11:25,11-07-2016 12:31,01:06,66,11-07-2016,11:25 AM,Monday,No,Yes,Yes,Morning
709,City,16,Trip Completed,11-07-2016 14:16,11-07-2016 15:03,00:47,47,11-07-2016,2:16 PM,Monday,No,Yes,Yes,Afternoon
1167,Airport,16,Trip Completed,11-07-2016 20:50,11-07-2016 21:52,01:02,62,11-07-2016,8:50 PM,Monday,No,Yes,Yes,Evening
2661,Airport,16,Trip Completed,12-07-2016 23:23,13-07-2016 00:27,01:04,64,12-07-2016,11:23 PM,Tuesday,No,Yes,Yes,Late Night
2808,City,16,Trip Completed,13-07-2016 05:05,13-07-2016 05:56,00:50,51,13-07-2016,5:05 AM,Wednesday,No,Yes,Yes,Night
3258,Airport,16,Trip Completed,13-07-2016 10:12,13-07-2016 10:45,00:32,33,13-07-2016,10:12 AM,Wednesday,No,Yes,Yes,Morning
3413,Airport,16,Trip Completed,13-07-2016 15:32,13-07-2016 16:45,01:13,74,13-07-2016,3:32 PM,Wednesday,No,Yes,Yes,Afternoon
3939,Airport,16,Trip Completed,13-07-2016 22:26,13-07-2016 22:55,00:29,29,13-07-2016,10:26 PM,Wednesday,No,Yes,Yes,Late Night
4125,City,16,Trip Completed,14-07-2016 04:37,14-07-2016 05:46,01:09,69,14-07-2016,4:37 AM,Thursday,No,Yes,Yes,Night
4457,City,16,Trip Completed,14-07-2016 08:36,14-07-2016 09:19,00:42,43,14-07-2016,8:36 AM,Thursday,No,Yes,Yes,Morning
4728,City,16,Trip Completed,14-07-2016 14:04,14-07-2016 15:06,01:02,62,14-07-2016,2:04 PM,Thursday,No,Yes,Yes,Afternoon
5347,Airport,16,Trip Completed,14-07-2016 22:51,14-07-2016 23:53,01:01,62,14-07-2016,10:51 PM,Thursday,No,Yes,Yes,Late Night
6147,City,16,Trip Completed,15-07-2016 16:11,15-07-2016 17:30,01:19,79,15-07-2016,4:11 PM,Friday,No,Yes,Yes,Afternoon
6496,Airport,16,Trip Completed,15-07-2016 20:33,15-07-2016 21:32,00:59,60,15-07-2016,8:33 PM,Friday,No,Yes,Yes,Evening
634,City,17,Trip Completed,11-07-2016 12:25,11-07-2016 13:06,00:41,41,11-07-2016,12:25 PM,Monday,No,Yes,Yes,Afternoon
939,Airport,17,Trip Completed,11-07-2016 18:25,11-07-2016 19:26,01:01,61,11-07-2016,6:25 PM,Monday,No,Yes,Yes,Evening
2628,Airport,17,Trip Completed,12-07-2016 22:10,12-07-2016 23:25,01:15,75,12-07-2016,10:10 PM,Tuesday,No,Yes,Yes,Late Night
3021,City,17,Trip Completed,13-07-2016 07:33,13-07-2016 08:26,00:52,53,13-07-2016,7:33 AM,Wednesday,No,Yes,Yes,Morning
4743,City,17,Trip Completed,14-07-2016 14:54,14-07-2016 15:39,00:44,45,14-07-2016,2:54 PM,Thursday,No,Yes,Yes,Afternoon
4981,City,17,Trip Completed,14-07-2016 18:47,14-07-2016 19:43,00:56,56,14-07-2016,6:47 PM,Thursday,No,Yes,Yes,Evening
5367,Airport,17,Trip Completed,14-07-2016 23:35,15-07-2016 00:25,00:49,50,14-07-2016,11:35 PM,Thursday,No,Yes,Yes,Late Night
5471,Airport,17,Trip Completed,15-07-2016 04:48,15-07-2016 05:47,00:58,58,15-07-2016,4:48 AM,Friday,No,Yes,Yes,Night
5988,Airport,17,Trip Completed,15-07-2016 11:48,15-07-2016 12:55,01:06,66,15-07-2016,11:48 AM,Friday,No,Yes,Yes,Morning
6477,Airport,17,Trip Completed,15-07-2016 20:21,15-07-2016 21:00,00:39,39,15-07-2016,8:21 PM,Friday,No,Yes,Yes,Evening
499,City,18,Trip Completed,11-07-2016 09:39,11-07-2016 10:16,00:37,37,11-07-2016,9:39 AM,Monday,No,Yes,Yes,Morning
1147,Airport,18,Trip Completed,11-07-2016 20:42,11-07-2016 21:18,00:36,36,11-07-2016,8:42 PM,Monday,No,Yes,Yes,Evening
1410,Airport,18,Trip Completed,12-07-2016 03:14,12-07-2016 04:27,01:13,73,12-07-2016,3:14 AM,Tuesday,No,Yes,Yes,Night
1804,Airport,18,Trip Completed,12-07-2016 09:12,12-07-2016 09:57,00:45,45,12-07-2016,9:12 AM,Tuesday,No,Yes,Yes,Morning
1949,Airport,18,Trip Completed,12-07-2016 11:32,12-07-2016 12:13,00:41,41,12-07-2016,11:32 AM,Tuesday,No,Yes,Yes,Morning
2713,City,18,Trip Completed,13-07-2016 01:46,13-07-2016 02:37,00:50,50,13-07-2016,1:46 AM,Wednesday,No,Yes,Yes,Night
2845,City,18,Trip Completed,13-07-2016 05:28,13-07-2016 06:10,00:42,42,13-07-2016,5:28 AM,Wednesday,No,Yes,Yes,Night
3943,Airport,18,Trip Completed,13-07-2016 22:35,13-07-2016 23:33,00:57,58,13-07-2016,10:35 PM,Wednesday,No,Yes,Yes,Late Night
4792,City,18,Trip Completed,14-07-2016 16:47,14-07-2016 17:34,00:47,47,14-07-2016,4:47 PM,Thursday,No,Yes,Yes,Afternoon
5207,Airport,18,Trip Completed,14-07-2016 20:57,14-07-2016 21:56,00:58,59,14-07-2016,8:57 PM,Thursday,No,Yes,Yes,Evening
5890,City,18,Trip Completed,15-07-2016 09:43,15-07-2016 10:55,01:11,71,15-07-2016,9:43 AM,Friday,No,Yes,Yes,Morning
494,City,19,Trip Completed,11-07-2016 09:36,11-07-2016 10:02,00:26,26,11-07-2016,9:36 AM,Monday,No,Yes,Yes,Morning
1485,City,19,Trip Completed,12-07-2016 05:21,12-07-2016 06:35,01:14,74,12-07-2016,5:21 AM,Tuesday,No,Yes,Yes,Night
2042,City,19,Trip Completed,12-07-2016 14:30,12-07-2016 15:09,00:39,39,12-07-2016,2:30 PM,Tuesday,No,Yes,Yes,Afternoon
2561,Airport,19,Trip Completed,12-07-2016 21:29,12-07-2016 22:44,01:15,75,12-07-2016,9:29 PM,Tuesday,No,Yes,Yes,Late Night
3813,Airport,19,Trip Completed,13-07-2016 21:06,13-07-2016 21:46,00:39,39,13-07-2016,9:06 PM,Wednesday,No,Yes,Yes,Late Night
